trimestre,division,ice,type
T2/2015,ENERGIE  ET  LUBRIFIANTS,84.2,import
T2/2015,IMPORTATIONS,89.2,import
T3/2015,"1- Alimentation, boissons et tabacs",90.9,export
T3/2015,3- Produits bruts d'origine animale et vegetale,88.9,export
T3/2015,4- Produits bruts d'origine minerale,94.3,export
T3/2015,6- Produits finis d'equipement agricole,100.1,export
T3/2015,7- Produits finis d'equipement industriel,103.2,export
T3/2015,8- Produits finis de consommation,107.9,export
T3/2015,DEMI  PRODUITS,96.8,export
T3/2015,ENERGIE  ET  LUBRIFIANTS,58.7,export
T3/2015,EXPORTATIONS,100.2,export
T3/2015,"1- Alimentation, boissons et tabacs",105.6,import
T3/2015,3- Produits bruts d'origine animale et vegetale,107.6,import
T3/2015,4- Produits bruts d'origine minerale,93.6,import
T3/2015,6- Produits finis d'equipement agricole,77.7,import
T3/2015,7- Produits finis d'equipement industriel,100.8,import
T3/2015,8- Produits finis de consommation,104.0,import
T3/2015,DEMI  PRODUITS,95.5,import
T3/2015,ENERGIE  ET  LUBRIFIANTS,106.7,import
T3/2015,IMPORTATIONS,87.9,import
T4/2015,"1- Alimentation, boissons et tabacs",88.8,export
T4/2015,3- Produits bruts d'origine animale et vegetale,88.3,export
T4/2015,4- Produits bruts d'origine minerale,83.1,export
T4/2015,6- Produits finis d'equipement agricole,100.6,export
T4/2015,7- Produits finis d'equipement industriel,102.5,export
T4/2015,8- Produits finis de consommation,107.3,export
T4/2015,DEMI  PRODUITS,95.7,export
T4/2015,ENERGIE  ET  LUBRIFIANTS,58.5,export
T4/2015,EXPORTATIONS,97.8,export
T4/2015,"1- Alimentation, boissons et tabacs",105.2,import
T4/2015,3- Produits bruts d'origine animale et vegetale,109.3,import
T4/2015,4- Produits bruts d'origine minerale,86.6,import
T4/2015,6- Produits finis d'equipement agricole,81.7,import
T4/2015,7- Produits finis d'equipement industriel,97.5,import
T4/2015,8- Produits finis de consommation,105.1,import
T4/2015,DEMI  PRODUITS,90.8,import
T4/2015,ENERGIE  ET  LUBRIFIANTS,104.4,import
T4/2015,IMPORTATIONS,87.2,import
T1/2016,"1- Alimentation, boissons et tabacs",85.9,export
T1/2016,3- Produits bruts d'origine animale et vegetale,87.7,export
T1/2016,4- Produits bruts d'origine minerale,86.3,export
T1/2016,6- Produits finis d'equipement agricole,103.6,export
T1/2016,7- Produits finis d'equipement industriel,104.2,export
T1/2016,8- Produits finis de consommation,107.8,export
T1/2016,DEMI  PRODUITS,93.4,export
T1/2016,ENERGIE  ET  LUBRIFIANTS,44.1,export
T1/2016,EXPORTATIONS,94.3,export
T1/2016,"1- Alimentation, boissons et tabacs",105.6,import
T1/2016,3- Produits bruts d'origine animale et vegetale,117.3,import
T1/2016,4- Produits bruts d'origine minerale,78.2,import
T1/2016,6- Produits finis d'equipement agricole,123.4,import
T1/2016,7- Produits finis d'equipement industriel,96.5,import
T1/2016,8- Produits finis de consommation,104.4,import
T1/2016,DEMI  PRODUITS,88.5,import
T1/2016,ENERGIE  ET  LUBRIFIANTS,26.3,import
T1/2016,IMPORTATIONS,83.1,import
T2/2016,"1- Alimentation, boissons et tabacs",86.3,export
T2/2016,3- Produits bruts d'origine animale et vegetale,88.4,export
T2/2016,4- Produits bruts d'origine minerale,71.5,export
T2/2016,6- Produits finis d'equipement agricole,102.9,export
T2/2016,7- Produits finis d'equipement industriel,103.1,export
T2/2016,8- Produits finis de consommation,108.4,export
T2/2016,DEMI  PRODUITS,92.4,export
T2/2016,ENERGIE  ET  LUBRIFIANTS,46.8,export
T2/2016,EXPORTATIONS,98.8,export
T2/2016,"1- Alimentation, boissons et tabacs",110.1,import
T2/2016,3- Produits bruts d'origine animale et vegetale,113.6,import
T2/2016,4- Produits bruts d'origine minerale,105.3,import
T2/2016,6- Produits finis d'equipement agricole,91.0,import
T2/2016,7- Produits finis d'equipement industriel,98.4,import
T2/2016,8- Produits finis de consommation,105.1,import
T2/2016,DEMI  PRODUITS,84.4,import
T2/2016,ENERGIE  ET  LUBRIFIANTS,73.4,import
T2/2016,IMPORTATIONS,83.1,import
T3/2016,"1- Alimentation, boissons et tabacs",89.7,export
T3/2016,3- Produits bruts d'origine animale et vegetale,90.2,export
T3/2016,4- Produits bruts d'origine minerale,63.6,export
T3/2016,6- Produits finis d'equipement agricole,102.6,export
T3/2016,7- Produits finis d'equipement industriel,105.4,export
T3/2016,8- Produits finis de consommation,107.7,export
T3/2016,DEMI  PRODUITS,92.7,export
T3/2016,ENERGIE  ET  LUBRIFIANTS,49.6,export
T3/2016,EXPORTATIONS,93.8,export
T3/2016,"1- Alimentation, boissons et tabacs",114.3,import
T3/2016,3- Produits bruts d'origine animale et vegetale,115.8,import
T3/2016,4- Produits bruts d'origine minerale,73.9,import
T3/2016,6- Produits finis d'equipement agricole,99.3,import
T3/2016,7- Produits finis d'equipement industriel,96.7,import
T3/2016,8- Produits finis de consommation,102.9,import
T3/2016,DEMI  PRODUITS,78.7,import
T3/2016,ENERGIE  ET  LUBRIFIANTS,79.0,import
T3/2016,IMPORTATIONS,84.4,import
T4/2016,"1- Alimentation, boissons et tabacs",89.5,export
T4/2016,3- Produits bruts d'origine animale et vegetale,92.3,export
T4/2016,4- Produits bruts d'origine minerale,63.5,export
T4/2016,6- Produits finis d'equipement agricole,100.2,export
T4/2016,7- Produits finis d'equipement industriel,101.5,export
T4/2016,8- Produits finis de consommation,106.2,export
T4/2016,DEMI  PRODUITS,91.6,export
T4/2016,ENERGIE  ET  LUBRIFIANTS,72.7,export
T4/2016,EXPORTATIONS,93.0,export
T4/2016,"1- Alimentation, boissons et tabacs",108.3,import
T4/2016,3- Produits bruts d'origine animale et vegetale,115.3,import
T4/2016,4- Produits bruts d'origine minerale,71.4,import
T4/2016,6- Produits finis d'equipement agricole,104.7,import
T4/2016,7- Produits finis d'equipement industriel,99.2,import
T4/2016,8- Produits finis de consommation,100.5,import
T4/2016,DEMI  PRODUITS,78.7,import
T4/2016,ENERGIE  ET  LUBRIFIANTS,78.3,import
T4/2016,IMPORTATIONS,89.7,import
T1/2017,"1- Alimentation, boissons et tabacs",92.5,export
T1/2017,3- Produits bruts d'origine animale et vegetale,94.3,export
T1/2017,4- Produits bruts d'origine minerale,65.8,export
T1/2017,6- Produits finis d'equipement agricole,102.7,export
T1/2017,7- Produits finis d'equipement industriel,101.3,export
T1/2017,8- Produits finis de consommation,107.4,export
T1/2017,DEMI  PRODUITS,93.1,export
